OPIS Truckstop ID,Truckstop Name,Address,City,State,Rack ID,Retail Price
10001,Station 1,1 Main St,Anytown,NJ,20001,3.355
10002,Station 2,2 Main St,Anytown,TX,20002,5.1
10003,Station 3,3 Main St,Anytown,MD,20003,4.226
10004,Station 4,4 Main St,Anytown,UT,20004,4.795
10005,Station 5,5 Main St,Anytown,IN,20005,3.437
10006,Station 6,6 Main St,Anytown,UT,20006,2.906
10007,Station 7,7 Main St,Anytown,CA,20007,2.566
10008,Station 8,8 Main St,Anytown,VA,20008,5.163
10009,Station 9,9 Main St,Anytown,VA,20009,2.94
10010,Station 10,10 Main St,Anytown,IN,20010,2.833
10011,Station 11,11 Main St,Anytown,NE,20011,4.016
10012,Station 12,12 Main St,Anytown,IN,20012,4.387
10013,Station 13,13 Main St,Anytown,TX,20013,3.845
10014,Station 14,14 Main St,Anytown,MD,20014,5.124
10015,Station 15,15 Main St,Anytown,IN,20015,4.123
10016,Station 16,16 Main St,Anytown,FL,20016,4.977
10017,Station 17,17 Main St,Anytown,GA,20017,3.146
10018,Station 18,18 Main St,Anytown,OH,20018,2.835
10019,Station 19,19 Main St,Anytown,OH,20019,5.163
10020,Station 20,20 Main St,Anytown,IA,20020,5.445
10021,Station 21,21 Main St,Anytown,CA,20021,3.94
10022,Station 22,22 Main St,Anytown,VA,20022,4.634
10023,Station 23,23 Main St,Anytown,NJ,20023,2.826
10024,Station 24,24 Main St,Anytown,NV,20024,5.272
10025,Station 25,25 Main St,Anytown,MD,20025,4.866
10026,Station 26,26 Main St,Anytown,IN,20026,3.051
10027,Station 27,27 Main St,Anytown,IL,20027,2.712
10028,Station 28,28 Main St,Anytown,CO,20028,4.42
10029,Station 29,29 Main St,Anytown,NY,20029,3.814
10030,Station 30,30 Main St,Anytown,GA,20030,3.755
10031,Station 31,31 Main St,Anytown,PA,20031,3.189
10032,Station 32,32 Main St,Anytown,VA,20032,5.102
10033,Station 33,33 Main St,Anytown,CA,20033,2.795
10034,Station 34,34 Main St,Anytown,IL,20034,3.461
10035,Station 35,35 Main St,Anytown,NV,20035,5.078
10036,Station 36,36 Main St,Anytown,MD,20036,2.801
10037,Station 37,37 Main St,Anytown,NY,20037,4.407
10038,Station 38,38 Main St,Anytown,IN,20038,2.75
10039,Station 39,39 Main St,Anytown,VA,20039,5.171
10040,Station 40,40 Main St,Anytown,IA,20040,3.173
10041,Station 41,41 Main St,Anytown,IA,20041,5.027
10042,Station 42,42 Main St,Anytown,IN,20042,2.627
10043,Station 43,43 Main St,Anytown,PA,20043,5.16
10044,Station 44,44 Main St,Anytown,NE,20044,4.193
10045,Station 45,45 Main St,Anytown,NY,20045,4.788
10046,Station 46,46 Main St,Anytown,IL,20046,3.943
10047,Station 47,47 Main St,Anytown,MD,20047,2.606
